title,rating,numberOfRatings
Identity (2003),3.6818181818181817,22
Mission: Impossible - Ghost Protocol (2011),3.659090909090909,22
Strictly Ballroom (1992),3.659090909090909,22
Wonder Boys (2000),3.659090909090909,22
Midnight Run (1988),3.6363636363636362,22
Captain America: Civil War (2016),3.6136363636363638,22
"Scanner Darkly, A (2006)",3.6136363636363638,22
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.4318181818181817,22
Now You See Me (2013),3.409090909090909,22
Sleeping Beauty (1959),3.409090909090909,22
Forget Paris (1995),3.340909090909091,22
Man of Steel (2013),3.2954545454545454,22
Arlington Road (1999),3.272727272727273,22
Milk Money (1994),3.25,22
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3.2045454545454546,22
Working Girl (1988),3.2045454545454546,22
Wanted (2008),3.159090909090909,22
"Arrival, The (1996)",3.1136363636363638,22
Weird Science (1985),3.1136363636363638,22
White Men Can't Jump (1992),3.0454545454545454,22
Police Academy (1984),3.022727272727273,22
Mr. Deeds (2002),2.909090909090909,22
National Lampoon's Van Wilder (2002),2.909090909090909,22
"Wedding Planner, The (2001)",2.909090909090909,22
Drop Zone (1994),2.8636363636363638,22
"Time Machine, The (2002)",2.8636363636363638,22
G.I. Jane (1997),2.7954545454545454,22
Twilight (2008),2.409090909090909,22
The Scorpion King (2002),2.2954545454545454,22
Superman III (1983),2.25,22
Doctor Zhivago (1965),4.142857142857143,21
Captain Phillips (2013),4.0476190476190474,21
And Your Mother Too (Y tu mamá también) (2001),3.9523809523809526,21
Heavenly Creatures (1994),3.9285714285714284,21
"Little Princess, A (1995)",3.9047619047619047,21
Metropolis (1927),3.857142857142857,21
Delicatessen (1991),3.8333333333333335,21
"Help, The (2011)",3.8333333333333335,21
Munich (2005),3.8095238095238093,21
Bridesmaids (2011),3.761904761904762,21
We're the Millers (2013),3.738095238095238,21
Boiler Room (2000),3.7142857142857144,21
Ever After: A Cinderella Story (1998),3.619047619047619,21
28 Weeks Later (2007),3.5952380952380953,21
Super 8 (2011),3.5952380952380953,21
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",3.5476190476190474,21
Charlotte's Web (1973),3.5476190476190474,21
For Your Eyes Only (1981),3.5476190476190474,21
Zack and Miri Make a Porno (2008),3.5238095238095237,21
Diamonds Are Forever (1971),3.5,21
Broken Flowers (2005),3.4761904761904763,21
"Ghost and the Darkness, The (1996)",3.4761904761904763,21
"Secret of NIMH, The (1982)",3.4761904761904763,21
I Heart Huckabees (2004),3.4523809523809526,21
Keeping the Faith (2000),3.4523809523809526,21
"Darjeeling Limited, The (2007)",3.4285714285714284,21
Snowpiercer (2013),3.4285714285714284,21
"Walk in the Clouds, A (1995)",3.4285714285714284,21
Repo Man (1984),3.380952380952381,21
"Paper, The (1994)",3.3095238095238093,21
Thor: The Dark World (2013),3.3095238095238093,21
WarGames (1983),3.3095238095238093,21
Starsky & Hutch (2004),3.2857142857142856,21
Ted (2012),3.2857142857142856,21
"Other Guys, The (2010)",3.261904761904762,21
"View to a Kill, A (1985)",3.2142857142857144,21
13 Going on 30 (2004),3.1904761904761907,21
"Adjustment Bureau, The (2011)",3.1666666666666665,21
"Poseidon Adventure, The (1972)",3.0952380952380953,21
Wyatt Earp (1994),3.0952380952380953,21
"First Wives Club, The (1996)",3.0714285714285716,21
Shrek the Third (2007),3.0238095238095237,21
"Money Pit, The (1986)",2.9285714285714284,21
Predator 2 (1990),2.9047619047619047,21
Mulholland Falls (1996),2.880952380952381,21
"Jewel of the Nile, The (1985)",2.8095238095238093,21
Aeon Flux (2005),2.761904761904762,21
Reality Bites (1994),2.761904761904762,21
Mission to Mars (2000),2.6904761904761907,21
2012 (2009),2.619047619047619,21
Weekend at Bernie's (1989),2.5476190476190474,21
Timecop (1994),2.5,21
RoboCop 3 (1993),2.4047619047619047,21
Joe Dirt (2001),2.380952380952381,21
Inspector Gadget (1999),2.0952380952380953,21
Super Mario Bros. (1993),2.0,21
"Streetcar Named Desire, A (1951)",4.475,20
Notorious (1946),4.25,20
Miller's Crossing (1990),4.225,20
Dogville (2003),4.025,20
Thor: Ragnarok (2017),4.025,20
Three Colors: White (Trzy kolory: Bialy) (1994),4.025,20
"Secret Life of Walter Mitty, The (2013)",4.0,20
Dancer in the Dark (2000),3.975,20
Dawn of the Dead (1978),3.975,20
Kids (1995),3.975,20
"Last King of Scotland, The (2006)",3.975,20
Being There (1979),3.95,20
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),3.9,20
"Downfall (Untergang, Der) (2004)",3.875,20
"Perks of Being a Wallflower, The (2012)",3.825,20
Dirty Harry (1971),3.775,20
Friday (1995),3.775,20
"Good Night, and Good Luck. (2005)",3.775,20
Wall Street (1987),3.75,20
"Animatrix, The (2003)",3.7,20
Four Rooms (1995),3.7,20
Real Genius (1985),3.675,20
From Hell (2001),3.65,20
Pitch Perfect (2012),3.625,20
Role Models (2008),3.625,20
Megamind (2010),3.6,20
Shallow Grave (1994),3.6,20
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),3.575,20
"Fox and the Hound, The (1981)",3.575,20
Major League (1989),3.575,20
"Score, The (2001)",3.55,20
Red (2010),3.5,20
Gone Baby Gone (2007),3.45,20
Holes (2003),3.425,20
"Great Gatsby, The (2013)",3.375,20
Anastasia (1997),3.35,20
Adventures in Babysitting (1987),3.325,20
Licence to Kill (1989),3.325,20
27 Dresses (2008),3.3,20
Déjà Vu (Deja Vu) (2006),3.3,20
Oblivion (2013),3.3,20
Short Circuit (1986),3.275,20
Behind Enemy Lines (2001),3.25,20
Intolerable Cruelty (2003),3.175,20
"Girl Next Door, The (2004)",3.125,20
Bill & Ted's Bogus Journey (1991),3.075,20
George of the Jungle (1997),3.075,20
Solaris (2002),3.075,20
Friends with Benefits (2011),3.05,20
Meet Joe Black (1998),3.05,20
Bridget Jones: The Edge of Reason (2004),3.025,20
"Peacemaker, The (1997)",3.025,20
Homeward Bound: The Incredible Journey (1993),2.95,20
"6th Day, The (2000)",2.8,20
"Beverly Hillbillies, The (1993)",2.675,20
Barb Wire (1996),2.65,20
"Brothers Grimm, The (2005)",2.625,20
Fantastic Four: Rise of the Silver Surfer (2007),2.575,20
Transformers: Revenge of the Fallen (2009),2.425,20
Toys (1992),2.375,20
Scary Movie 3 (2003),2.275,20
"Honey, I Blew Up the Kid (1992)",2.05,20
High Noon (1952),4.2105263157894735,19
All About My Mother (Todo sobre mi madre) (1999),4.157894736842105,19
Lone Star (1996),4.157894736842105,19
Spotlight (2015),4.157894736842105,19
Ghost Dog: The Way of the Samurai (1999),4.052631578947368,19
Eastern Promises (2007),4.026315789473684,19
"Red Violin, The (Violon rouge, Le) (1998)",4.026315789473684,19
Blood Simple (1984),4.0,19
Henry V (1989),4.0,19
"Professional, The (Le professionnel) (1981)",3.8684210526315788,19
Battlestar Galactica (2003),3.8157894736842106,19
Layer Cake (2004),3.8157894736842106,19
Cloud Atlas (2012),3.736842105263158,19
"Muppet Christmas Carol, The (1992)",3.736842105263158,19
22 Jump Street (2014),3.6842105263157894,19
Ray (2004),3.6842105263157894,19
Waking Life (2001),3.6842105263157894,19
50/50 (2011),3.6315789473684212,19
Apocalypto (2006),3.6052631578947367,19
Despicable Me 2 (2013),3.5789473684210527,19
Kung Fu Hustle (Gong fu) (2004),3.5789473684210527,19
Amistad (1997),3.5,19
Benny & Joon (1993),3.473684210526316,19
"Hard Day's Night, A (1964)",3.473684210526316,19
One Hour Photo (2002),3.473684210526316,19
Soylent Green (1973),3.473684210526316,19
Atlantis: The Lost Empire (2001),3.3421052631578947,19
Nurse Betty (2000),3.3421052631578947,19
Two Weeks Notice (2002),3.263157894736842,19
Tron: Legacy (2010),3.236842105263158,19
Shanghai Knights (2003),3.210526315789474,19
Airplane II: The Sequel (1982),3.1842105263157894,19
Jack (1996),3.1578947368421053,19
Kalifornia (1993),3.1578947368421053,19
Star Trek: Nemesis (2002),3.1052631578947367,19
Double Jeopardy (1999),3.026315789473684,19
Robots (2005),3.026315789473684,19
World War Z (2013),3.026315789473684,19
EDtv (1999),2.973684210526316,19
Beverly Hills Cop II (1987),2.8684210526315788,19
Stuart Little (1999),2.8421052631578947,19
Virtuosity (1995),2.8421052631578947,19
Three Men and a Baby (1987),2.8157894736842106,19
"Phantom, The (1996)",2.789473684210526,19
Days of Thunder (1990),2.710526315789474,19
"Replacements, The (2000)",2.6842105263157894,19
Rambo: First Blood Part II (1985),2.6578947368421053,19
Shaft (2000),2.6578947368421053,19
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.6052631578947367,19
Maid in Manhattan (2002),2.6052631578947367,19
Dracula: Dead and Loving It (1995),2.4210526315789473,19
Grease 2 (1982),2.0789473684210527,19
Battlefield Earth (2000),1.6578947368421053,19
Speed 2: Cruise Control (1997),1.605263157894737,19
"Hustler, The (1961)",4.333333333333333,18
Once Upon a Time in the West (C'era una volta il West) (1968),4.305555555555555,18
"Outlaw Josey Wales, The (1976)",4.25,18
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",4.222222222222222,18
Nightcrawler (2014),4.166666666666667,18
Rebecca (1940),4.166666666666667,18
Fantastic Mr. Fox (2009),4.083333333333333,18
Mr. Smith Goes to Washington (1939),4.083333333333333,18
Rashomon (Rashômon) (1950),3.9444444444444446,18
Crimes and Misdemeanors (1989),3.9166666666666665,18
Tucker & Dale vs Evil (2010),3.9166666666666665,18
Bringing Up Baby (1938),3.861111111111111,18
127 Hours (2010),3.8333333333333335,18
American Splendor (2003),3.8333333333333335,18
Nixon (1995),3.8333333333333335,18
Blade Runner 2049 (2017),3.8055555555555554,18
Hellboy II: The Golden Army (2008),3.8055555555555554,18
21 (2008),3.75,18
Hugo (2011),3.75,18
"Name of the Rose, The (Name der Rose, Der) (1986)",3.75,18
The Hateful Eight (2015),3.75,18
Boyz N the Hood (1991),3.7222222222222223,18
"Bronx Tale, A (1993)",3.7222222222222223,18
Idiocracy (2006),3.7222222222222223,18
Immortal Beloved (1994),3.7222222222222223,18
Seabiscuit (2003),3.6944444444444446,18
Smoke (1995),3.6666666666666665,18
"Man with the Golden Gun, The (1974)",3.5833333333333335,18
"March of the Penguins (Marche de l'empereur, La) (2005)",3.5555555555555554,18
"Mariachi, El (1992)",3.5555555555555554,18
Stir of Echoes (1999),3.5277777777777777,18
The Man from U.N.C.L.E. (2015),3.4722222222222223,18
"Spy Who Loved Me, The (1977)",3.4444444444444446,18
"Ref, The (1994)",3.4166666666666665,18
The Hobbit: The Battle of the Five Armies (2014),3.4166666666666665,18
Westworld (1973),3.4166666666666665,18
"World's End, The (2013)",3.4166666666666665,18
Bolt (2008),3.388888888888889,18
Clue (1985),3.388888888888889,18
Ladyhawke (1985),3.3333333333333335,18
We Were Soldiers (2002),3.3333333333333335,18
Dead Men Don't Wear Plaid (1982),3.3055555555555554,18
Monster's Ball (2001),3.3055555555555554,18
Men in Black III (M.III.B.) (M.I.B.³) (2012),3.2777777777777777,18
Terminator Salvation (2009),3.25,18
"Jackal, The (1997)",3.2222222222222223,18
"American Tail, An (1986)",3.1666666666666665,18
"Bourne Legacy, The (2012)",3.138888888888889,18
"Golden Compass, The (2007)",3.111111111111111,18
Romeo Must Die (2000),3.0833333333333335,18
Rat Race (2001),3.0555555555555554,18
Renaissance Man (1994),3.0555555555555554,18
40 Days and 40 Nights (2002),3.0,18
Any Given Sunday (1999),3.0,18
Divergent (2014),3.0,18
Jumper (2008),3.0,18
8MM (1999),2.9444444444444446,18
"Shadow, The (1994)",2.888888888888889,18
Jingle All the Way (1996),2.861111111111111,18
Small Soldiers (1998),2.8333333333333335,18
Beneath the Planet of the Apes (1970),2.7777777777777777,18
Reign of Fire (2002),2.7222222222222223,18
Sliver (1993),2.6666666666666665,18
Sky Captain and the World of Tomorrow (2004),2.638888888888889,18
America's Sweethearts (2001),2.5833333333333335,18
Popeye (1980),2.5,18
Look Who's Talking (1989),2.388888888888889,18
I Still Know What You Did Last Summer (1998),2.0555555555555554,18
Double Indemnity (1944),4.323529411764706,17
Touch of Evil (1958),4.264705882352941,17
"Conversation, The (1974)",4.205882352941177,17
Crumb (1994),4.205882352941177,17
Cinderella Man (2005),4.088235294117647,17
Kiki's Delivery Service (Majo no takkyûbin) (1989),4.0588235294117645,17
Miracle on 34th Street (1947),4.0588235294117645,17
"Elephant Man, The (1980)",4.029411764705882,17
"Man Who Would Be King, The (1975)",4.029411764705882,17
Dallas Buyers Club (2013),3.9705882352941178,17
Let the Right One In (Låt den rätte komma in) (2008),3.911764705882353,17
Michael Clayton (2007),3.911764705882353,17
"Ice Storm, The (1997)",3.8823529411764706,17
Boyhood (2014),3.823529411764706,17
Shaolin Soccer (Siu lam juk kau) (2001),3.823529411764706,17
Primer (2004),3.7941176470588234,17
Serpico (1973),3.7941176470588234,17
I Am Sam (2001),3.764705882352941,17
"Man Who Wasn't There, The (2001)",3.735294117647059,17
Letters from Iwo Jima (2006),3.7058823529411766,17
"Room with a View, A (1986)",3.7058823529411766,17
The Theory of Everything (2014),3.7058823529411766,17
Enchanted (2007),3.676470588235294,17
Jarhead (2005),3.676470588235294,17
Of Mice and Men (1992),3.676470588235294,17
Mission: Impossible - Rogue Nation (2015),3.6470588235294117,17
Something's Gotta Give (2003),3.6470588235294117,17
"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",3.6176470588235294,17
Rango (2011),3.6176470588235294,17
2010: The Year We Make Contact (1984),3.588235294117647,17
"Dictator, The (2012)",3.5588235294117645,17
Cloudy with a Chance of Meatballs (2009),3.5294117647058822,17
Falling Down (1993),3.5294117647058822,17
"I Love You, Man (2009)",3.5294117647058822,17
Monster (2003),3.5294117647058822,17
Jackass: The Movie (2002),3.5,17
Kingdom of Heaven (2005),3.5,17
"20,000 Leagues Under the Sea (1954)",3.4705882352941178,17
Match Point (2005),3.4411764705882355,17
Runaway Jury (2003),3.4411764705882355,17
City of Angels (1998),3.3823529411764706,17
What's Love Got to Do with It? (1993),3.3823529411764706,17
Bob Roberts (1992),3.3529411764705883,17
"Recruit, The (2003)",3.3529411764705883,17
Kung Fu Panda 2 (2011),3.323529411764706,17
"Man Without a Face, The (1993)",3.2941176470588234,17
Angels & Demons (2009),3.264705882352941,17
Lost Highway (1997),3.264705882352941,17
On Her Majesty's Secret Service (1969),3.264705882352941,17
Kate & Leopold (2001),3.2058823529411766,17
"'burbs, The (1989)",3.176470588235294,17
"Corrina, Corrina (1994)",3.176470588235294,17
Houseguest (1994),3.176470588235294,17
"A-Team, The (2010)",3.1470588235294117,17
Along Came a Spider (2001),3.1470588235294117,17
"Rundown, The (2003)",3.1470588235294117,17
Blades of Glory (2007),3.088235294117647,17
"Expendables, The (2010)",3.0588235294117645,17
It Could Happen to You (1994),3.0588235294117645,17
Spectre (2015),3.0588235294117645,17
"Goofy Movie, A (1995)",3.0,17
"Sum of All Fears, The (2002)",2.9705882352941178,17
Major Payne (1995),2.9411764705882355,17
Paycheck (2003),2.911764705882353,17
Bad Boys II (2003),2.8823529411764706,17
Chain Reaction (1996),2.8823529411764706,17
Kindergarten Cop (1990),2.8823529411764706,17
Scooby-Doo (2002),2.8529411764705883,17
AVP: Alien vs. Predator (2004),2.823529411764706,17
"Juror, The (1996)",2.764705882352941,17
"10,000 BC (2008)",2.7058823529411766,17
Lara Croft Tomb Raider: The Cradle of Life (2003),2.6470588235294117,17
Jaws 2 (1978),2.6176470588235294,17
Exit to Eden (1994),2.588235294117647,17
Deuce Bigalow: Male Gigolo (1999),2.323529411764706,17
Mighty Morphin Power Rangers: The Movie (1995),2.264705882352941,17
Universal Soldier (1992),2.2058823529411766,17
Big Momma's House (2000),2.176470588235294,17
Rocky V (1990),1.9411764705882353,17
"Sweet Hereafter, The (1997)",4.25,16
Three Colors: Red (Trois couleurs: Rouge) (1994),4.21875,16
Grave of the Fireflies (Hotaru no haka) (1988),4.15625,16
Prisoners (2013),4.15625,16
Untitled Spider-Man Reboot (2017),4.15625,16
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),4.125,16
Dirty Rotten Scoundrels (1988),4.125,16
Happiness (1998),4.125,16
"Legend of Drunken Master, The (Jui kuen II) (1994)",4.125,16
Once Upon a Time in America (1984),4.0625,16
Hamlet (1996),4.0,16
Rosencrantz and Guildenstern Are Dead (1990),3.96875,16
Dawn of the Dead (2004),3.90625,16
Monsters University (2013),3.875,16
"Imaginarium of Doctor Parnassus, The (2009)",3.8125,16
Frida (2002),3.78125,16
Circle of Friends (1995),3.75,16
"Secret of Roan Inish, The (1994)",3.75,16
Three Days of the Condor (3 Days of the Condor) (1975),3.75,16
Closer (2004),3.71875,16
"Outsiders, The (1983)",3.71875,16
Spy (2015),3.6875,16
"Treasure of the Sierra Madre, The (1948)",3.65625,16
12 Years a Slave (2013),3.625,16
Confessions of a Dangerous Mind (2002),3.625,16
History of the World: Part I (1981),3.625,16
Half Baked (1998),3.59375,16
"Magnificent Seven, The (1960)",3.59375,16
"Hurricane, The (1999)",3.53125,16
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.53125,16
Syriana (2005),3.53125,16
"Proposal, The (2009)",3.5,16
Up Close and Personal (1996),3.5,16
Get Smart (2008),3.46875,16
Ender's Game (2013),3.4375,16
Tremors (1990),3.4375,16
Very Bad Things (1998),3.4375,16
"Wolverine, The (2013)",3.375,16
Elysium (2013),3.3125,16
"Book of Eli, The (2010)",3.28125,16
Cop Land (1997),3.28125,16
"Perfect Murder, A (1998)",3.28125,16
American Hustle (2013),3.25,16
Point Break (1991),3.25,16
F/X (1986),3.21875,16
St. Elmo's Fire (1985),3.21875,16
Transporter 2 (2005),3.21875,16
Footloose (1984),3.1875,16
Black Sheep (1996),3.15625,16
Wolf (1994),3.15625,16
Annie (1982),3.125,16
Assassins (1995),3.125,16
Sudden Death (1995),3.125,16
American Wedding (American Pie 3) (2003),3.09375,16
Underworld: Evolution (2006),3.09375,16
Vicky Cristina Barcelona (2008),3.09375,16
Flubber (1997),3.0,16
Serial Mom (1994),3.0,16
Bean (1997),2.96875,16
"Maze Runner, The (2014)",2.9375,16
Back to School (1986),2.90625,16
Flashdance (1983),2.875,16
Friday the 13th (1980),2.875,16
Save the Last Dance (2001),2.84375,16
Six Days Seven Nights (1998),2.84375,16
Maleficent (2014),2.75,16
"Golden Child, The (1986)",2.71875,16
Boomerang (1992),2.65625,16
"Little Rascals, The (1994)",2.65625,16
Another Stakeout (1993),2.53125,16
Beverly Hills Ninja (1997),2.46875,16
Batman v Superman: Dawn of Justice (2016),2.34375,16
Nutty Professor II: The Klumps (2000),2.28125,16
Howard the Duck (1986),2.15625,16
Superman IV: The Quest for Peace (1987),1.6875,16
Ran (1985),4.433333333333334,15
Malcolm X (1992),4.166666666666667,15
"Great Dictator, The (1940)",4.133333333333334,15
Kelly's Heroes (1970),4.133333333333334,15
Rebel Without a Cause (1955),4.1,15
"Odd Couple, The (1968)",4.066666666666666,15
Dead Man (1995),3.966666666666667,15
White Squall (1996),3.966666666666667,15
Zero Effect (1998),3.966666666666667,15
About Time (2013),3.933333333333333,15
"Commitments, The (1991)",3.8666666666666667,15
Fantasia 2000 (1999),3.8333333333333335,15
The Nice Guys (2016),3.8333333333333335,15
American Sniper (2014),3.8,15
How to Train Your Dragon 2 (2014),3.7666666666666666,15
"Dead Zone, The (1983)",3.7333333333333334,15
M (1931),3.7333333333333334,15
Before Sunset (2004),3.7,15
"Hours, The (2002)",3.7,15
Parenthood (1989),3.7,15
Richard III (1995),3.7,15
Glengarry Glen Ross (1992),3.6666666666666665,15
Out of Africa (1985),3.6666666666666665,15
Romeo and Juliet (1968),3.6666666666666665,15
Get Out (2017),3.6333333333333333,15
"Age of Innocence, The (1993)",3.5,15
Fallen (1998),3.5,15
Hairspray (2007),3.5,15
"Basketball Diaries, The (1995)",3.466666666666667,15
Everyone Says I Love You (1996),3.466666666666667,15
Seven Psychopaths (2012),3.466666666666667,15
Star Trek Beyond (2016),3.466666666666667,15
Dawn of the Planet of the Apes (2014),3.433333333333333,15
Screamers (1995),3.4,15
Summer of Sam (1999),3.4,15
Hellraiser (1987),3.3666666666666667,15
Adventureland (2009),3.3333333333333335,15
Can't Hardly Wait (1998),3.3333333333333335,15
Gremlins 2: The New Batch (1990),3.3333333333333335,15
"Muppets Take Manhattan, The (1984)",3.3333333333333335,15
Hot Tub Time Machine (2010),3.3,15
Secret Window (2004),3.3,15
"Hangover Part II, The (2011)",3.2666666666666666,15
Short Cuts (1993),3.2666666666666666,15
Varsity Blues (1999),3.2666666666666666,15
"Ninth Gate, The (1999)",3.2,15
Paul (2011),3.2,15
Minions (2015),3.1666666666666665,15
EuroTrip (2004),3.1333333333333333,15
Hot Shots! (1991),3.1333333333333333,15
"Lord of the Rings, The (1978)",3.1333333333333333,15
How to Make an American Quilt (1995),3.066666666666667,15
"Legend of Bagger Vance, The (2000)",3.066666666666667,15
Escape from the Planet of the Apes (1971),3.0,15
"Parent Trap, The (1998)",3.0,15
Salt (2010),2.966666666666667,15
Flatliners (1990),2.933333333333333,15
"General's Daughter, The (1999)",2.933333333333333,15
Death Becomes Her (1992),2.8666666666666667,15
You Don't Mess with the Zohan (2008),2.8666666666666667,15
"Crow: City of Angels, The (1996)",2.8333333333333335,15
"Devil's Own, The (1997)",2.8333333333333335,15
Bicentennial Man (1999),2.8,15
Pete's Dragon (1977),2.7666666666666666,15
Snake Eyes (1998),2.7666666666666666,15
Mr. Mom (1983),2.7333333333333334,15
All Dogs Go to Heaven (1989),2.7,15
End of Days (1999),2.7,15
"Amityville Horror, The (1979)",2.6333333333333333,15
European Vacation (aka National Lampoon's European Vacation) (1985),2.6333333333333333,15
Orange County (2002),2.6333333333333333,15
Idle Hands (1999),2.566666666666667,15
Jumpin' Jack Flash (1986),2.5,15
Money Train (1995),2.5,15
Encino Man (1992),2.4,15
"Next Karate Kid, The (1994)",2.3666666666666667,15
Volcano (1997),2.1,15
His Girl Friday (1940),4.392857142857143,14
It Happened One Night (1934),4.321428571428571,14
In the Mood For Love (Fa yeung nin wa) (2000),4.214285714285714,14
"Big Sleep, The (1946)",4.142857142857143,14
Zero Dark Thirty (2012),4.107142857142857,14
8 1/2 (8½) (1963),4.071428571428571,14
Barton Fink (1991),4.035714285714286,14
Once Were Warriors (1994),4.035714285714286,14
Talk to Her (Hable con Ella) (2002),4.035714285714286,14
Cape Fear (1962),3.9642857142857144,14
Papillon (1973),3.9285714285714284,14
"Straight Story, The (1999)",3.9285714285714284,14
Eat Drink Man Woman (Yin shi nan nu) (1994),3.892857142857143,14
Kramer vs. Kramer (1979),3.892857142857143,14
"Limey, The (1999)",3.892857142857143,14
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),3.892857142857143,14
Saved! (2004),3.892857142857143,14
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3.8214285714285716,14
Nobody's Fool (1994),3.7857142857142856,14
Diner (1982),3.75,14
Manhattan Murder Mystery (1993),3.75,14
"Mighty Wind, A (2003)",3.75,14
Whale Rider (2002),3.75,14
1984 (Nineteen Eighty-Four) (1984),3.7142857142857144,14
Dredd (2012),3.7142857142857144,14
Sexy Beast (2000),3.7142857142857144,14
Sicko (2007),3.7142857142857144,14
10 Cloverfield Lane (2016),3.6785714285714284,14
Fantastic Beasts and Where to Find Them (2016),3.6785714285714284,14
9 (2009),3.642857142857143,14
"Officer and a Gentleman, An (1982)",3.642857142857143,14
Sunshine (2007),3.642857142857143,14
What Dreams May Come (1998),3.642857142857143,14
Pacific Rim (2013),3.607142857142857,14
Shadowlands (1993),3.607142857142857,14
Homeward Bound II: Lost in San Francisco (1996),3.5714285714285716,14
Pollock (2000),3.5357142857142856,14
"Fountain, The (2006)",3.5,14
Just Cause (1995),3.5,14
"Punisher, The (2004)",3.5,14
"Walk to Remember, A (2002)",3.5,14
Warm Bodies (2013),3.5,14
Boys on the Side (1995),3.4285714285714284,14
Crank (2006),3.4285714285714284,14
"Definitely, Maybe (2008)",3.4285714285714284,14
"Mist, The (2007)",3.4285714285714284,14
Over the Hedge (2006),3.4285714285714284,14
Red Dawn (1984),3.4285714285714284,14
Seven Years in Tibet (1997),3.4285714285714284,14
In Time (2011),3.392857142857143,14
Men of Honor (2000),3.392857142857143,14
Bubba Ho-tep (2002),3.3214285714285716,14
Devil in a Blue Dress (1995),3.3214285714285716,14
Rocky Balboa (2006),3.3214285714285716,14
Ruthless People (1986),3.3214285714285716,14
S.W.A.T. (2003),3.3214285714285716,14
Yellow Submarine (1968),3.2857142857142856,14
Once Upon a Time in Mexico (2003),3.2142857142857144,14
This Is the End (2013),3.2142857142857144,14
Marley & Me (2008),3.142857142857143,14
Dinosaur (2000),3.107142857142857,14
Things to Do in Denver When You're Dead (1995),3.107142857142857,14
BASEketball (1998),3.0714285714285716,14
Creepshow (1982),3.0714285714285716,14
X-Men: Apocalypse (2016),3.0714285714285716,14
Surrogates (2009),3.0357142857142856,14
Mamma Mia! (2008),2.9642857142857144,14
Accepted (2006),2.9285714285714284,14
No Strings Attached (2011),2.9285714285714284,14
"Number 23, The (2007)",2.9285714285714284,14
"Replacement Killers, The (1998)",2.9285714285714284,14
Resident Evil: Apocalypse (2004),2.9285714285714284,14
Clockers (1995),2.892857142857143,14
Phantasm (1979),2.892857142857143,14
Blade: Trinity (2004),2.857142857142857,14
Lucy (2014),2.8214285714285716,14
Next (2007),2.8214285714285716,14
City Hall (1996),2.7857142857142856,14
Son in Law (1993),2.7857142857142856,14
"One, The (2001)",2.75,14
King Kong (1976),2.7142857142857144,14
Snakes on a Plane (2006),2.642857142857143,14
Ice Age: Dawn of the Dinosaurs (2009),2.607142857142857,14
Vertical Limit (2000),2.607142857142857,14
"Ladykillers, The (2004)",2.5714285714285716,14
Not Another Teen Movie (2001),2.5714285714285716,14
"Blue Lagoon, The (1980)",2.4642857142857144,14
Nacho Libre (2006),2.4642857142857144,14
"Nutty Professor, The (1963)",2.4642857142857144,14
Twins (1988),2.4642857142857144,14
House on Haunted Hill (1999),2.4285714285714284,14
Teenage Mutant Ninja Turtles III (1993),2.0714285714285716,14
Sister Act 2: Back in the Habit (1993),1.8928571428571428,14
"Karate Kid, Part III, The (1989)",1.75,14
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",4.3076923076923075,13
Living in Oblivion (1995),4.3076923076923075,13
Yojimbo (1961),4.230769230769231,13
No Man's Land (2001),4.1923076923076925,13
Batman: Mask of the Phantasm (1993),4.115384615384615,13
Murder in the First (1995),4.076923076923077,13
Chariots of Fire (1981),4.038461538461538,13
Enter the Dragon (1973),4.038461538461538,13
Exit Through the Gift Shop (2010),4.038461538461538,13
Avengers: Infinity War - Part I (2018),4.0,13
Metropolis (2001),3.9615384615384617,13
Spellbound (2002),3.923076923076923,13
Thirteen Days (2000),3.923076923076923,13
Clerks II (2006),3.8846153846153846,13
"Wings of Desire (Himmel über Berlin, Der) (1987)",3.8846153846153846,13
City Lights (1931),3.8461538461538463,13
Charade (1963),3.8076923076923075,13
Forbidden Planet (1956),3.8076923076923075,13
Shall We Dance? (Shall We Dansu?) (1996),3.8076923076923075,13
"Adventures of Baron Munchausen, The (1988)",3.769230769230769,13
Dead Again (1991),3.769230769230769,13
Fury (2014),3.769230769230769,13
"Guns of Navarone, The (1961)",3.769230769230769,13
Hannah and Her Sisters (1986),3.769230769230769,13
Invasion of the Body Snatchers (1956),3.769230769230769,13
Ninja Scroll (Jûbei ninpûchô) (1995),3.769230769230769,13
RocknRolla (2008),3.769230769230769,13
"Dreamers, The (2003)",3.730769230769231,13
"Purple Rose of Cairo, The (1985)",3.730769230769231,13
The Queen (2006),3.730769230769231,13
